entry_date,exit_date,direction,entry_price,exit_price,net_ret_pct,win
2022-07-07,2022-07-14,SHORT,36164.8,35795.5,0.871,1
2022-07-27,2022-08-03,SHORT,39287.6,38423.3,2.05,1
2022-09-28,2022-10-05,SHORT,40952.6,41869.1,-2.388,0
2022-10-28,2022-11-04,SHORT,43523.4,41739.5,3.949,1
2022-11-22,2022-11-29,SHORT,44280.6,42715.1,3.385,1
2023-03-09,2023-03-16,SHORT,41472.0,44789.1,-8.148,0
2023-03-29,2023-04-05,SHORT,43934.0,41688.7,4.961,1
2023-04-26,2023-05-03,SHORT,44666.2,42998.1,3.585,1
2023-06-08,2023-06-15,SHORT,46858.5,46611.4,0.377,1
2023-07-12,2023-07-19,SHORT,47641.9,45278.5,4.811,1
2023-10-16,2023-10-23,SHORT,46965.5,46763.5,0.28,1
2023-11-10,2023-11-17,SHORT,47247.2,48380.1,-2.548,0
2023-11-23,2023-11-30,SHORT,51902.4,48800.0,5.827,1
2024-01-11,2024-01-18,SHORT,51880.6,50425.6,2.655,1
2024-02-22,2024-02-29,SHORT,53307.4,48100.0,9.619,1
2024-05-03,2024-05-10,SHORT,51236.1,50440.6,1.403,1
2024-06-28,2024-07-05,SHORT,53400.0,49945.7,6.319,1
2024-07-29,2024-08-05,SHORT,53052.5,50193.4,5.239,1
2024-08-07,2024-08-14,SHORT,53317.1,52734.1,0.943,1
2025-04-01,2025-04-08,SHORT,52500.0,56571.3,-7.905,0
2025-04-09,2025-04-16,SHORT,57973.3,60408.4,-4.35,0
