entry_bar,exit_bar,direction,net_ret_pct,win
985,986,SHORT,0.23,1
987,988,SHORT,0.23,1
989,990,SHORT,-1.437,0
1007,1008,SHORT,-0.329,0
1012,1013,SHORT,-0.058,0
1030,1031,SHORT,0.117,1
1033,1034,SHORT,0.15,1
1035,1036,SHORT,0.15,1
1037,1038,SHORT,0.463,1
1050,1051,SHORT,-2.57,0
1069,1070,SHORT,0.217,1
1071,1072,SHORT,0.216,1
1073,1074,SHORT,0.038,1
1081,1082,SHORT,0.057,1
1083,1084,SHORT,0.069,1
1085,1086,SHORT,0.519,1
1087,1088,SHORT,0.246,1
1091,1092,SHORT,-0.549,0
1120,1121,SHORT,-0.247,0
1130,1131,SHORT,0.246,1
1139,1140,SHORT,0.431,1
1141,1142,SHORT,-1.907,0
1153,1154,SHORT,-0.86,0
1183,1184,SHORT,0.241,1
1185,1186,SHORT,0.241,1
1187,1188,SHORT,-0.012,0
1190,1191,SHORT,0.051,1
1192,1193,SHORT,0.102,1
1205,1206,SHORT,0.049,1
1219,1220,SHORT,0.056,1
1221,1222,SHORT,0.071,1
1223,1224,SHORT,0.351,1
1236,1237,SHORT,-2.659,0
1247,1248,SHORT,0.387,1
1269,1270,SHORT,0.083,1
1282,1283,SHORT,0.089,1
1299,1300,SHORT,0.032,1
1301,1302,SHORT,0.298,1
1305,1306,SHORT,0.082,1
1307,1308,SHORT,-1.936,0
1314,1315,SHORT,0.303,1
1322,1323,SHORT,-0.111,0
1325,1326,SHORT,-0.533,0
1349,1350,SHORT,-0.586,0
1362,1363,SHORT,0.685,1
1364,1365,SHORT,0.685,1
1366,1367,SHORT,0.685,1
1395,1396,SHORT,-1.968,0
1402,1403,SHORT,-0.112,0
1406,1407,SHORT,-1.319,0
1419,1420,SHORT,-0.827,0
1424,1425,SHORT,-0.319,0
1444,1445,SHORT,-0.133,0
1447,1448,SHORT,0.448,1
1449,1450,SHORT,0.448,1
1451,1452,SHORT,0.41,1
1475,1476,SHORT,-0.62,0
1493,1494,SHORT,-0.927,0
1508,1509,SHORT,0.107,1
1510,1511,SHORT,0.205,1
