entry_bar,exit_bar,direction,net_ret_pct,win
3065,3068,SHORT,-1.349,0
3226,3229,SHORT,-0.981,0
3606,3609,SHORT,0.024,1
3613,3616,SHORT,-0.276,0
3698,3701,SHORT,0.032,1
3702,3705,SHORT,0.032,1
3706,3709,SHORT,0.032,1
3710,3713,SHORT,0.032,1
3714,3717,SHORT,0.032,1
3718,3721,SHORT,0.032,1
3722,3725,SHORT,0.032,1
3726,3729,SHORT,0.032,1
3730,3733,SHORT,0.032,1
3734,3737,SHORT,0.032,1
3738,3741,SHORT,0.032,1
3742,3745,SHORT,0.032,1
3746,3749,SHORT,0.032,1
3750,3753,SHORT,-0.626,0
3906,3909,SHORT,-1.938,0
4023,4026,SHORT,-1.596,0
