entry_bar,exit_bar,entry_dt,exit_dt,direction,entry_price,exit_price,net_ret,win,sample
19,22,2024-05-17 10:15:00,2024-05-17 13:15:00,LONG,22279.22,22163.99,-0.00617,0,IS
22,25,2024-05-17 13:15:00,2024-05-20 10:15:00,LONG,22163.99,22088.45,-0.00441,0,IS
125,128,2024-06-11 14:15:00,2024-06-12 11:15:00,LONG,24351.37,24197.11,-0.00733,0,IS
128,131,2024-06-12 11:15:00,2024-06-12 14:15:00,LONG,24197.11,24287.49,0.00274,1,IS
134,137,2024-06-13 11:15:00,2024-06-13 14:15:00,LONG,24090.83,23856.36,-0.01073,0,IS
137,140,2024-06-13 14:15:00,2024-06-14 11:15:00,LONG,23856.36,23660.7,-0.0092,0,IS
211,214,2024-07-02 10:15:00,2024-07-02 13:15:00,LONG,24618.63,24019.88,-0.02532,0,IS
214,217,2024-07-02 13:15:00,2024-07-03 10:15:00,LONG,24019.88,24017.85,-0.00108,0,IS
230,233,2024-07-05 11:15:00,2024-07-05 14:15:00,LONG,23748.78,23370.79,-0.01692,0,IS
233,236,2024-07-05 14:15:00,2024-07-08 11:15:00,LONG,23370.79,23385.97,-0.00035,0,IS
271,274,2024-07-16 10:15:00,2024-07-16 13:15:00,LONG,23213.56,22744.61,-0.0212,0,IS
274,277,2024-07-16 13:15:00,2024-07-17 10:15:00,LONG,22744.61,22569.44,-0.0087,0,IS
277,280,2024-07-17 10:15:00,2024-07-17 13:15:00,LONG,22569.44,22678.3,0.00382,1,IS
328,331,2024-07-29 13:15:00,2024-07-30 10:15:00,LONG,24243.76,24237.59,-0.00125,0,IS
393,396,2024-08-13 12:15:00,2024-08-14 09:15:00,LONG,25603.2,25491.53,-0.00536,0,IS
408,411,2024-08-16 09:15:00,2024-08-16 12:15:00,LONG,25109.79,24958.37,-0.00703,0,IS
411,414,2024-08-16 12:15:00,2024-08-19 09:15:00,LONG,24958.37,24725.74,-0.01032,0,IS
414,417,2024-08-19 09:15:00,2024-08-19 12:15:00,LONG,24725.74,24772.69,0.0009,1,IS
495,498,2024-09-05 12:15:00,2024-09-06 09:15:00,LONG,26051.74,25833.07,-0.00939,0,IS
498,501,2024-09-06 09:15:00,2024-09-06 12:15:00,LONG,25833.07,25645.87,-0.00825,0,IS
501,504,2024-09-06 12:15:00,2024-09-09 09:15:00,LONG,25645.87,25585.98,-0.00334,0,IS
536,539,2024-09-16 11:15:00,2024-09-16 14:15:00,LONG,25476.65,25433.36,-0.0027,0,IS
541,544,2024-09-17 10:15:00,2024-09-17 13:15:00,LONG,25260.45,25249.41,-0.00144,0,IS
553,556,2024-09-19 10:15:00,2024-09-19 13:15:00,LONG,24713.04,24488.78,-0.01007,0,IS
556,559,2024-09-19 13:15:00,2024-09-20 10:15:00,LONG,24488.78,24435.27,-0.00319,0,IS
577,580,2024-09-25 10:15:00,2024-09-25 13:15:00,LONG,24161.85,23511.27,-0.02793,0,IS
580,583,2024-09-25 13:15:00,2024-09-26 10:15:00,LONG,23511.27,23309.4,-0.00959,0,IS
650,653,2024-10-11 11:15:00,2024-10-11 14:15:00,LONG,23775.53,23184.74,-0.02585,0,IS
653,656,2024-10-11 14:15:00,2024-10-14 11:15:00,LONG,23184.74,23146.95,-0.00263,0,IS
718,721,2024-10-28 13:15:00,2024-10-29 10:15:00,LONG,22892.57,22887.32,-0.00123,0,IS
752,755,2024-11-05 11:15:00,2024-11-05 14:15:00,LONG,23220.27,23141.78,-0.00438,0,IS
773,776,2024-11-08 14:15:00,2024-11-11 11:15:00,LONG,22875.59,22828.87,-0.00304,0,IS
915,918,2024-12-12 12:15:00,2024-12-13 09:15:00,LONG,24862.35,24682.51,-0.00823,0,IS
918,921,2024-12-13 09:15:00,2024-12-13 12:15:00,LONG,24682.51,24567.94,-0.00564,0,IS
921,924,2024-12-13 12:15:00,2024-12-16 09:15:00,LONG,24567.94,24473.4,-0.00485,0,IS
944,947,2024-12-19 11:15:00,2024-12-19 14:15:00,LONG,24296.98,24008.33,-0.01288,0,IS
947,950,2024-12-19 14:15:00,2024-12-20 11:15:00,LONG,24008.33,23857.05,-0.0073,0,IS
950,953,2024-12-20 11:15:00,2024-12-20 14:15:00,LONG,23857.05,23800.35,-0.00338,0,IS
962,965,2024-12-24 11:15:00,2024-12-24 14:15:00,LONG,23011.65,22803.09,-0.01006,0,IS
987,990,2024-12-30 12:15:00,2024-12-31 09:15:00,LONG,22861.19,22855.63,-0.00124,0,OOS
1014,1017,2025-01-06 09:15:00,2025-01-06 12:15:00,LONG,22980.27,23203.2,0.0087,1,OOS
1034,1037,2025-01-09 11:15:00,2025-01-09 14:15:00,LONG,22981.02,22809.02,-0.00848,0,OOS
1037,1040,2025-01-09 14:15:00,2025-01-10 11:15:00,LONG,22809.02,22748.21,-0.00367,0,OOS
1068,1071,2025-01-17 09:15:00,2025-01-17 12:15:00,LONG,23222.45,23022.49,-0.00961,0,OOS
1071,1074,2025-01-17 12:15:00,2025-01-20 09:15:00,LONG,23022.49,22915.92,-0.00563,0,OOS
1086,1089,2025-01-22 09:15:00,2025-01-22 12:15:00,LONG,22549.42,22424.86,-0.00652,0,OOS
1089,1092,2025-01-22 12:15:00,2025-01-23 09:15:00,LONG,22424.86,22349.66,-0.00435,0,OOS
1132,1135,2025-01-31 13:15:00,2025-02-03 10:15:00,LONG,22246.66,22235.59,-0.0015,0,OOS
1140,1143,2025-02-04 09:15:00,2025-02-04 12:15:00,LONG,21916.87,22050.67,0.00511,1,OOS
