entry_bar,exit_bar,entry_dt,exit_dt,direction,entry_price,exit_price,net_ret,win,sample
23,28,2025-02-07 14:45:00,2025-02-10 11:15:00,SHORT,22304.41,22443.04,-0.00722,0,IS
28,33,2025-02-10 11:15:00,2025-02-10 13:45:00,SHORT,22443.04,23087.62,-0.02972,0,IS
33,38,2025-02-10 13:45:00,2025-02-11 10:15:00,SHORT,23087.62,23269.94,-0.0089,0,IS
42,47,2025-02-11 12:15:00,2025-02-11 14:45:00,SHORT,23690.07,24022.29,-0.01502,0,IS
177,182,2025-02-26 13:45:00,2025-02-27 10:15:00,SHORT,22957.98,23294.32,-0.01565,0,IS
203,208,2025-02-28 14:45:00,2025-03-03 11:15:00,SHORT,23519.0,23398.3,0.00413,1,IS
242,247,2025-03-06 10:15:00,2025-03-06 12:45:00,SHORT,23768.59,24167.38,-0.01778,0,IS
247,252,2025-03-06 12:45:00,2025-03-07 09:15:00,SHORT,24167.38,24283.41,-0.0058,0,IS
373,378,2025-03-21 09:45:00,2025-03-21 12:15:00,SHORT,24129.12,24387.48,-0.01171,0,IS
378,383,2025-03-21 12:15:00,2025-03-21 14:45:00,SHORT,24387.48,24494.6,-0.00539,0,IS
455,460,2025-03-31 14:45:00,2025-04-01 11:15:00,SHORT,24039.0,23974.41,0.00169,1,IS
476,481,2025-04-02 13:15:00,2025-04-03 09:45:00,SHORT,24191.12,24058.53,0.00448,1,OOS
528,533,2025-04-09 09:15:00,2025-04-09 11:45:00,SHORT,24060.29,24072.79,-0.00152,0,OOS
662,667,2025-04-24 10:15:00,2025-04-24 12:45:00,SHORT,23500.12,23651.35,-0.00744,0,OOS
668,673,2025-04-24 13:15:00,2025-04-25 09:45:00,SHORT,23735.37,23899.95,-0.00793,0,OOS
692,697,2025-04-28 13:15:00,2025-04-29 09:45:00,SHORT,23952.4,24299.46,-0.01549,0,OOS
697,702,2025-04-29 09:45:00,2025-04-29 12:15:00,SHORT,24299.46,24749.73,-0.01953,0,OOS
702,707,2025-04-29 12:15:00,2025-04-29 14:45:00,SHORT,24749.73,25179.82,-0.01838,0,OOS
707,712,2025-04-29 14:45:00,2025-04-30 11:15:00,SHORT,25179.82,24958.94,0.00777,1,OOS
