entry,exit,entry_px,exit_px,direction,units,gross_pnl,cost,net_pnl,equity
2021-12-28,2022-01-04,17682.61,17674.3,SHORT,5,41.55,197.2,-155.65,99844.35
2022-02-28,2022-03-07,17465.0,17093.23,SHORT,5,1858.85,196.97,1661.88,101506.23
2022-07-28,2022-08-04,17770.19,17219.75,SHORT,5,2752.2,199.46,2552.74,104058.97
2022-10-28,2022-11-04,18566.13,17903.46,SHORT,5,3313.35,203.29,3110.06,107169.04
2022-11-25,2022-12-02,20028.54,17954.93,SHORT,5,10368.05,207.95,10160.1,117329.13
2023-01-26,2023-02-02,18469.88,17409.96,SHORT,6,6359.52,223.19,6136.33,123465.46
2023-04-28,2023-05-05,18535.0,18496.72,SHORT,6,229.68,232.4,-2.72,123462.74
2023-08-28,2023-09-04,20224.32,19256.97,SHORT,6,5804.1,232.39,5571.71,129034.45
2023-10-30,2023-11-06,19618.24,19583.6,SHORT,6,207.84,240.75,-32.91,129001.53
2023-11-27,2023-12-04,20587.68,21252.93,SHORT,6,-3991.5,240.7,-4232.2,124769.33
2024-04-29,2024-05-06,23829.19,22765.88,SHORT,5,5316.55,234.35,5082.2,129851.53
2024-07-31,2024-08-07,25235.0,25755.48,SHORT,5,-2602.4,241.98,-2844.38,127007.15
2024-08-27,2024-09-03,26809.93,26278.41,SHORT,4,2126.08,237.71,1888.37,128895.52
2025-04-29,2025-05-06,25179.82,24750.0,SHORT,5,2149.1,240.54,1908.56,130804.08
