strategy,trades,win_rate,net_pnl,avg_win,avg_loss,profit_factor,max_dd
Nifty|1m|S01_OpenDrive,2,100.0%,153.04,76.52,0.0,∞,0.0
Nifty|1m|S02_MorningStar,89,30.3%,-53.75,44.67,-21.82,0.92,444.84
Nifty|1m|S03_EveningStar,69,34.8%,221.05,52.42,-23.04,1.21,311.64
Nifty|1m|S04_CPR_Breakout,71,32.4%,143.51,46.8,-21.82,1.1,190.95
Nifty|1m|S05_SupplyZoneBreakout,89,31.5%,-10.22,47.01,-23.0,0.99,267.82
Nifty|1m|S06_ORB,115,35.7%,278.58,44.07,-22.6,1.14,281.39
Nifty|1m|S07_DayHighBreakout,28,35.7%,215.05,56.63,-20.39,1.63,229.92
Nifty|1m|S08_GapFilling,3,33.3%,42.78,119.3,-38.26,1.56,76.52
Nifty|1m|S09_MATrendFollow,43,32.6%,-65.16,41.57,-22.31,0.9,356.63
Nifty|1m|S10_PPT,120,31.7%,172.73,48.82,-21.35,1.1,394.32
Nifty|1m|S11_GCR,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|1m|S12_RCR,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|1m|S13_MPattern,102,37.3%,325.15,45.41,-22.42,1.22,379.0
Nifty|1m|S14_WPattern,117,29.9%,-96.33,43.64,-21.17,0.91,509.04
Nifty|1m|S15_ODR,1,100.0%,119.3,119.3,0.0,∞,0.0
Nifty|1m|S16_GCBO,75,29.3%,46.29,47.9,-20.59,1.0,304.85
Nifty|1m|S17_RCBO,72,25.0%,-251.12,47.34,-22.44,0.74,313.83
Nifty|1m|S18_VirginCPR,109,31.2%,3.61,47.26,-22.35,1.0,349.21
Nifty|1m|S19_GapDownRejection,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|1m|S20_GapUpRejection,1,100.0%,119.3,119.3,0.0,∞,0.0
Nifty|1m|S21_CPRReversal,120,33.3%,95.32,41.88,-20.6,1.04,180.07
Nifty|1m|S22_ExtremeCandle,54,40.7%,174.02,45.0,-25.5,1.21,309.5
Nifty|1m|S23_SupplyZoneReversal,110,32.7%,-4.01,43.96,-22.66,0.97,401.63
Nifty|1m|S24_GapBorderRejection,130,33.1%,358.37,48.54,-21.07,1.18,265.02
Nifty|1m|S26_CounterBullTrap,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|1m|S27_CounterBearTrap,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|1m|S28_VReversal,71,33.8%,194.07,50.15,-21.61,1.21,287.34
Nifty|1m|S29_PowerCandlePullback,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|1m|S30_3EMA,54,37.0%,132.4,42.7,-21.48,1.2,369.92
Nifty|2m|S01_OpenDrive,12,58.3%,365.42,97.79,-63.83,2.15,172.22
Nifty|2m|S02_MorningStar,306,26.1%,-829.32,60.0,-28.49,0.82,1081.38
Nifty|2m|S03_EveningStar,283,36.4%,1566.94,58.81,-30.14,1.27,440.49
Nifty|2m|S04_CPR_Breakout,261,31.4%,492.7,60.28,-27.42,1.1,757.08
Nifty|2m|S05_SupplyZoneBreakout,306,31.7%,462.95,58.12,-28.03,1.07,673.76
Nifty|2m|S06_ORB,299,35.8%,1135.42,54.75,-28.73,1.21,577.52
Nifty|2m|S07_DayHighBreakout,127,35.4%,160.5,60.53,-33.63,1.05,668.04
Nifty|2m|S08_GapFilling,17,29.4%,-85.59,123.99,-58.79,0.88,309.13
Nifty|2m|S09_MATrendFollow,147,29.3%,45.25,59.81,-26.57,1.02,381.26
Nifty|2m|S10_PPT,389,33.4%,1089.03,58.18,-28.49,1.15,794.14
Nifty|2m|S11_GCR,0,N/A,0.0,0.0,0.0,N/A,0.0
Nifty|2m|S12_RCR,0,N/A,0.0,0.0,0.0,N/A,0.0
