entry_time,exit_time,direction,entry,exit,sl,target,pnl,result,strategy
2026-03-25 09:16:00+05:30,2026-03-25 09:26:00+05:30,LONG,23133.15,23206.05,23096.7,23206.05,72.9,TP,Nifty|1m|S01_OpenDrive
2026-03-27 09:16:00+05:30,2026-03-27 09:57:00+05:30,SHORT,23071.35,22991.21,23111.42,22991.21,80.14,TP,Nifty|1m|S01_OpenDrive
2026-03-23 09:31:00+05:30,2026-03-23 09:47:00+05:30,LONG,22713.6,22682.69,22682.69,22775.42,-30.91,SL,Nifty|1m|S02_MorningStar
2026-03-23 09:53:00+05:30,2026-03-23 09:54:00+05:30,LONG,22655.45,22636.11,22636.11,22694.13,-19.34,SL,Nifty|1m|S02_MorningStar
2026-03-23 10:02:00+05:30,2026-03-23 10:15:00+05:30,LONG,22590.15,22566.21,22566.21,22638.02,-23.94,SL,Nifty|1m|S02_MorningStar
2026-03-23 10:18:00+05:30,2026-03-23 10:19:00+05:30,LONG,22580.0,22559.08,22559.08,22621.84,-20.92,SL,Nifty|1m|S02_MorningStar
2026-03-23 10:22:00+05:30,2026-03-23 10:30:00+05:30,LONG,22550.2,22530.61,22530.61,22589.37,-19.59,SL,Nifty|1m|S02_MorningStar
2026-03-23 10:36:00+05:30,2026-03-23 10:50:00+05:30,LONG,22548.4,22528.52,22528.52,22588.16,-19.88,SL,Nifty|1m|S02_MorningStar
2026-03-23 10:53:00+05:30,2026-03-23 11:07:00+05:30,LONG,22516.75,22556.0,22497.13,22556.0,39.25,TP,Nifty|1m|S02_MorningStar
2026-03-23 11:12:00+05:30,2026-03-23 11:16:00+05:30,LONG,22560.1,22537.98,22537.98,22604.34,-22.12,SL,Nifty|1m|S02_MorningStar
2026-03-23 11:18:00+05:30,2026-03-23 11:44:00+05:30,LONG,22534.65,22513.75,22513.75,22576.46,-20.9,SL,Nifty|1m|S02_MorningStar
2026-03-23 11:54:00+05:30,2026-03-23 12:07:00+05:30,LONG,22555.15,22536.02,22536.02,22593.41,-19.13,SL,Nifty|1m|S02_MorningStar
2026-03-23 12:10:00+05:30,2026-03-23 12:15:00+05:30,LONG,22551.25,22531.85,22531.85,22590.05,-19.4,SL,Nifty|1m|S02_MorningStar
2026-03-23 12:18:00+05:30,2026-03-23 12:24:00+05:30,LONG,22526.25,22508.8,22508.8,22561.16,-17.45,SL,Nifty|1m|S02_MorningStar
2026-03-23 12:32:00+05:30,2026-03-23 12:47:00+05:30,LONG,22512.2,22554.14,22491.23,22554.14,41.94,TP,Nifty|1m|S02_MorningStar
2026-03-23 12:58:00+05:30,2026-03-23 13:12:00+05:30,LONG,22492.7,22472.67,22472.67,22532.75,-20.02,SL,Nifty|1m|S02_MorningStar
2026-03-23 13:15:00+05:30,2026-03-23 13:30:00+05:30,LONG,22489.7,22525.43,22471.83,22525.43,35.73,TP,Nifty|1m|S02_MorningStar
2026-03-23 13:33:00+05:30,2026-03-23 13:44:00+05:30,LONG,22519.55,22566.38,22496.13,22566.38,46.83,TP,Nifty|1m|S02_MorningStar
2026-03-23 13:53:00+05:30,2026-03-23 14:31:00+05:30,LONG,22615.0,22585.63,22585.63,22673.75,-29.37,SL,Nifty|1m|S02_MorningStar
2026-03-23 14:40:00+05:30,2026-03-23 14:51:00+05:30,LONG,22561.05,22633.35,22524.9,22633.35,72.3,TP,Nifty|1m|S02_MorningStar
2026-03-23 14:59:00+05:30,2026-03-23 15:00:00+05:30,LONG,22601.4,22570.89,22570.89,22662.42,-30.51,SL,Nifty|1m|S02_MorningStar
2026-03-23 15:06:00+05:30,2026-03-23 15:29:00+05:30,LONG,22512.05,22478.12,22478.12,22579.91,-33.93,SL,Nifty|1m|S02_MorningStar
2026-03-24 09:22:00+05:30,2026-03-24 09:51:00+05:30,LONG,22782.5,22706.46,22706.46,22934.58,-76.04,SL,Nifty|1m|S02_MorningStar
2026-03-24 09:54:00+05:30,2026-03-24 10:07:00+05:30,LONG,22724.8,22698.46,22698.46,22777.48,-26.34,SL,Nifty|1m|S02_MorningStar
2026-03-24 10:11:00+05:30,2026-03-24 10:17:00+05:30,LONG,22694.95,22740.31,22672.27,22740.31,45.36,TP,Nifty|1m|S02_MorningStar
2026-03-24 10:22:00+05:30,2026-03-24 10:31:00+05:30,LONG,22733.6,22712.51,22712.51,22775.78,-21.09,SL,Nifty|1m|S02_MorningStar
2026-03-24 10:38:00+05:30,2026-03-24 10:48:00+05:30,LONG,22642.15,22689.22,22618.62,22689.22,47.07,TP,Nifty|1m|S02_MorningStar
2026-03-24 11:15:00+05:30,2026-03-24 11:20:00+05:30,LONG,22699.4,22743.81,22677.19,22743.81,44.41,TP,Nifty|1m|S02_MorningStar
2026-03-24 11:26:00+05:30,2026-03-24 11:35:00+05:30,LONG,22714.55,22761.07,22691.29,22761.07,46.52,TP,Nifty|1m|S02_MorningStar
