Date,NCLI_1d,NCLI_2d,NIFTY,Signal_1d
2015-01-01,,,8561.0,
2015-01-02,,,8421.06,
2015-01-05,,,8261.07,
2015-01-06,,,8090.73,
2015-01-07,,,8251.44,
2015-01-08,,,8078.97,
2015-01-09,,,8249.34,
2015-01-12,,,8216.99,
2015-01-13,,,8205.71,
2015-01-14,,,8347.71,
2015-01-15,,,8497.8,
2015-01-16,,,8313.27,
2015-01-19,,,8457.34,
2015-01-20,,,8539.78,
2015-01-21,,,8542.03,
2015-01-22,,,8591.91,
2015-01-23,,,8613.15,
2015-01-26,,,8595.36,
2015-01-27,,,8730.93,
2015-01-28,,,8857.53,
2015-01-29,,,8836.26,
2015-01-30,,,8902.0,
2015-02-02,,,8902.0,
2015-02-03,,,8859.21,
2015-02-04,,,8903.6,
2015-02-05,,,8774.93,
2015-02-06,,,8757.64,
2015-02-09,,,8746.45,
2015-02-10,,,8870.59,
2015-02-11,,,8674.7,
2015-02-12,,,8541.38,
2015-02-13,,,8560.29,
2015-02-16,,,8352.09,
2015-02-17,,,8337.8,
2015-02-18,,,8309.96,
2015-02-19,,,8381.25,
2015-02-20,,,8401.96,
2015-02-23,,,8515.16,
2015-02-24,,,8477.87,
2015-02-25,,,8565.87,
2015-02-26,,,8174.18,
2015-02-27,,,8492.0,
2015-03-02,,,8492.0,
2015-03-03,,,8463.85,
2015-03-04,,,8349.98,
2015-03-05,,,8271.47,
2015-03-06,,,8032.66,
2015-03-09,,,8084.92,
2015-03-10,,,8239.44,
2015-03-11,100.0,100.0,8394.37,STRONG_BUY
2015-03-12,100.0,100.0,8455.14,STRONG_BUY
2015-03-13,100.0,100.0,8124.49,STRONG_BUY
2015-03-16,100.0,100.0,8090.05,STRONG_BUY
2015-03-17,100.0,100.0,8375.17,STRONG_BUY
2015-03-18,100.0,100.0,8357.74,STRONG_BUY
2015-03-19,100.0,100.0,8448.39,STRONG_BUY
2015-03-20,100.0,100.0,8314.67,STRONG_BUY
2015-03-23,100.0,100.0,8190.33,STRONG_BUY
2015-03-24,100.0,100.0,8102.25,STRONG_BUY
2015-03-25,100.0,100.0,8028.64,STRONG_BUY
2015-03-26,100.0,100.0,7893.06,STRONG_BUY
2015-03-27,100.0,100.0,8028.44,STRONG_BUY
2015-03-30,68.77,100.0,8142.22,STRONG_BUY
2015-03-31,100.0,100.0,8181.0,STRONG_BUY
2015-04-01,100.0,100.0,8181.0,STRONG_BUY
2015-04-02,100.0,100.0,8220.81,STRONG_BUY
2015-04-03,100.0,100.0,8070.73,STRONG_BUY
2015-04-06,100.0,100.0,8094.37,STRONG_BUY
2015-04-07,100.0,100.0,8119.06,STRONG_BUY
