,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
ret_1d,0.01933575574984606,-0.012749601734434037,-0.024543542632539,-0.04563470057850012,-0.03670435425810208,-0.02320178104059222,-0.022348514978109097,-0.03445669154280501,-0.040669677228061134,-0.055157894898097456,-0.0472110609436491,-0.04423064267534269,-0.06892416186887777,-0.08007673229428854,-0.0820900090248627,-0.07825590420255982,-0.08684358056194935,-0.09418491092342857,-0.08355717596835328,-0.079707963657777,-0.07876757368805025,-0.08353495745637408,-0.08770468174781161,-0.08255881011177874,-0.08923376343117978,-0.08837276216365815,-0.07142582418397354,-0.06791516094043043,-0.06772032848444097,-0.055442103838469835
ret_3d,-0.054204179350113964,-0.09371698856668362,-0.10016764311490281,-0.0918171057488546,-0.08909067519349315,-0.09343068458944685,-0.10592818134141864,-0.12119816758727722,-0.12207705650818297,-0.11751502705819743,-0.1290862201798292,-0.1465015536839803,-0.16484983191039132,-0.17359582543682045,-0.18003882987789654,-0.187860938985817,-0.19012893561962182,-0.18392151332023454,-0.1736998128884841,-0.1738854864884788,-0.1749965170786044,-0.17610337290921635,-0.1770522747704904,-0.17425931385660576,-0.1647073991958848,-0.15362227771080803,-0.1487058948197942,-0.1430952225244879,-0.12816383279672378,-0.11810126392989646
ret_5d,-0.06167333187431351,-0.07996729308298567,-0.09087831573744125,-0.1047762643019069,-0.10541449873747172,-0.11930026383280387,-0.12810004666458194,-0.1322697939454166,-0.14725638464284832,-0.16350423354370835,-0.1790878448229227,-0.19349731222993968,-0.21416503780172177,-0.23101938822969953,-0.2361269889158035,-0.23384818563795343,-0.23279433518778508,-0.22966694645088465,-0.22257844964745388,-0.2195589032086946,-0.2198357042483105,-0.2189809561797311,-0.20870994076623775,-0.19982454080435302,-0.1942632610122939,-0.18446410965318416,-0.16908540910908917,-0.158268639681796,-0.1483987481998015,-0.14476511534463937
ret_10d,-0.08539531839392181,-0.10710081083234925,-0.12212490480910305,-0.1429527824341852,-0.16500041360077297,-0.1838232722596293,-0.197915613362989,-0.21657803461686115,-0.23962659189135999,-0.2515775912769521,-0.2617409226875862,-0.27079821804806636,-0.28098960214605384,-0.28544629183398346,-0.28580164946436193,-0.28321925630732014,-0.28458496021441804,-0.27687419280443354,-0.26243201580053577,-0.2583403125686009,-0.2515884062807444,-0.24192537058123625,-0.2319423949084523,-0.22295946702278846,-0.21668385222149425,-0.20799846563186095,-0.19648139916194887,-0.18910568842217593,-0.18519405100504216,-0.18198337410492663
ret_20d,-0.11129707974802132,-0.1482806184521045,-0.17141300111277047,-0.18587132873327597,-0.19753627324788745,-0.2103444551131869,-0.22229529278235124,-0.22521486095632093,-0.22973840492410097,-0.233242142985333,-0.2324370242064185,-0.23034980087716886,-0.23292968104671058,-0.22362523829857195,-0.21650648151926113,-0.2080532265552329,-0.19926600278048884,-0.19420332585078529,-0.18311459413269426,-0.1799079336096252,-0.18192184376904097,-0.18305392791564076,-0.1859958983159022,-0.18988257288977317,-0.18835793126321349,-0.18656238544129972,-0.184437425086014,-0.18789214585803848,-0.19581214934804206,-0.1984416582903056
ret_60d,-0.0768309412934174,-0.10933885185631256,-0.13574986381033166,-0.1496163439489054,-0.15866097346917074,-0.1695442084425446,-0.1799603639953018,-0.18912295806803217,-0.19508729976029493,-0.19502513324294118,-0.1966298240700093,-0.20219361820608509,-0.2084447521361118,-0.2119618688415706,-0.2108788668451021,-0.20719784554947213,-0.20391997744313975,-0.2002089109158319,-0.19575775803451637,-0.193787722198074,-0.1968182045192144,-0.19662511865452276,-0.19808761062476762,-0.19856421366072705,-0.19546677142529126,-0.19172191899907182,-0.18927282296643586,-0.18838393763488231,-0.18740342239279914,-0.1812716253831486
price_vs_sma10,-0.06474488896861982,-0.10025380104599503,-0.11906689299583849,-0.13157917855927231,-0.1334535134339754,-0.14457194585687697,-0.15894718640661318,-0.17489160983350438,-0.19077470294986082,-0.205310013289001,-0.22069916274381202,-0.238764060993465,-0.25883709989702103,-0.2682563186242258,-0.2722481675324047,-0.27050350000271506,-0.27135161766366395,-0.26752538161463196,-0.2572770345819322,-0.25234348389267436,-0.24867117561208119,-0.24639022608395122,-0.24023804991669018,-0.23294395186833128,-0.22219216692309277,-0.20989451439753087,-0.19660306799762417,-0.18763690457645124,-0.18093228183752097,-0.17342894533130637
price_vs_sma20,-0.09783996285213885,-0.14169393560518637,-0.17035028989694734,-0.1906382167069392,-0.20623855633765134,-0.22146775481162795,-0.23607935297734303,-0.2524161913797594,-0.26754908408267036,-0.27751810364725327,-0.28697693304539545,-0.29888903504758424,-0.31189385414573056,-0.3165895638371617,-0.3148569914539039,-0.3080783223380139,-0.30514821439013834,-0.2976113421330869,-0.28249625410646917,-0.2713940087320568,-0.2622975041571735,-0.25541268700201797,-0.2495933446331656,-0.2467379520428284,-0.23987061563874804,-0.23080913854945878,-0.22052164950014153,-0.2147827203087367,-0.21453854164402714,-0.2143768781436319
price_vs_sma50,-0.10494976821384959,-0.14877623729023778,-0.1816876792030525,-0.19710943193240252,-0.20820972197785037,-0.22652279780527695,-0.2432859987383222,-0.2540054735582445,-0.26541997064781503,-0.27124981492828615,-0.27612596637404924,-0.2847354468717638,-0.29248721513592374,-0.2951984707320598,-0.2908905706679515,-0.2838488794913343,-0.28042245197879423,-0.2750885254158646,-0.26652542836020976,-0.26018944093442975,-0.25748851334200473,-0.2562550392129447,-0.257282457669078,-0.2589531167496795,-0.25640519264969874,-0.2515010774082005,-0.24682721612495387,-0.24661682995903336,-0.2500925968796176,-0.2504023937681655
price_vs_sma200,-0.07126015149439718,-0.10036839719266387,-0.125823353809219,-0.14230092553378004,-0.14866912853592243,-0.1584201149331037,-0.17035389172203041,-0.17900054923189038,-0.18552810922116128,-0.18814029718987946,-0.19028182134069252,-0.19733476798244834,-0.20159512908044558,-0.20375539287878544,-0.20479304148928074,-0.20484519289187128,-0.20403502692953185,-0.1995174971187843,-0.19570205549087422,-0.19338064624186826,-0.1929548690333654,-0.19482860799006588,-0.19864386148730534,-0.20156088344617046,-0.19934712925213807,-0.19707763785166985,-0.19600939766264996,-0.19807314990072347,-0.19948037420707185,-0.1992257617953106
