Date,Open,High,Low,Close,Volume
2015-01-01,8592.0,8747.47,8405.53,8561.0,337576901
2015-01-02,8574.52,8574.52,8421.06,8421.06,484448693
2015-01-05,8419.26,8435.04,8245.29,8261.07,725826519
2015-01-06,8304.33,8304.33,8090.73,8090.73,775316456
2015-01-07,8078.53,8251.44,8078.53,8251.44,982713464
2015-01-08,8266.03,8266.03,8078.97,8078.97,988809786
2015-01-09,8064.91,8249.34,8064.91,8249.34,672677949
2015-01-12,8271.11,8282.7,8205.4,8216.99,601203938
2015-01-13,8187.42,8244.05,8149.08,8205.71,227159305
2015-01-14,8231.84,8347.71,8231.84,8347.71,905372694
2015-01-15,8356.01,8544.73,8309.08,8497.8,781567883
2015-01-16,8529.52,8529.52,8313.27,8313.27,933912500
2015-01-19,8315.68,8457.34,8315.68,8457.34,818654093
2015-01-20,8404.55,8606.37,8337.96,8539.78,469576903
2015-01-21,8516.41,8573.43,8485.01,8542.03,256972546
2015-01-22,8510.35,8591.91,8510.35,8591.91,636714454
2015-01-23,8579.58,8748.7,8444.04,8613.15,367716265
2015-01-26,8639.39,8781.43,8453.32,8595.36,458820813
2015-01-27,8578.34,8730.93,8578.34,8730.93,971374488
2015-01-28,8683.22,8927.04,8613.71,8857.53,417152101
2015-01-29,8876.39,8880.9,8831.76,8836.26,362965132
2015-01-30,8820.09,8955.99,8766.1,8902.0,874508674
2015-02-02,8919.03,8947.78,8873.25,8902.0,365382096
2015-02-03,8885.86,8922.48,8822.59,8859.21,393235154
2015-02-04,8804.29,8903.6,8804.29,8903.6,241941122
2015-02-05,8918.85,9068.82,8624.95,8774.93,459874284
2015-02-06,8823.77,8993.81,8587.6,8757.64,287521941
2015-02-09,8722.62,8819.4,8649.67,8746.45,288713653
2015-02-10,8733.75,8870.59,8733.75,8870.59,907589540
2015-02-11,8887.1,8887.1,8674.7,8674.7,950049441
2015-02-12,8620.97,8636.71,8525.63,8541.38,705011023
2015-02-13,8549.89,8709.45,8400.73,8560.29,340793596
2015-02-16,8551.51,8572.33,8331.28,8352.09,613430534
2015-02-17,8359.96,8401.86,8295.89,8337.8,559412656
2015-02-18,8350.55,8431.67,8228.83,8309.96,659782378
2015-02-19,8287.19,8587.1,8081.33,8381.25,347470980
2015-02-20,8331.82,8416.28,8317.5,8401.96,444174338
2015-02-23,8349.02,8515.16,8349.02,8515.16,419631099
2015-02-24,8545.73,8652.2,8371.4,8477.87,877382795
2015-02-25,8492.92,8573.92,8484.87,8565.87,370222605
2015-02-26,8575.69,8575.69,8174.18,8174.18,1086349432
2015-02-27,8152.75,8492.0,8152.75,8492.0,852669593
2015-03-02,8448.9,8606.29,8334.61,8492.0,190326857
2015-03-03,8569.43,8574.23,8459.05,8463.85,264089549
2015-03-04,8431.11,8440.1,8340.99,8349.98,920498214
2015-03-05,8344.38,8352.45,8263.4,8271.47,518469518
2015-03-06,8287.28,8288.21,8031.73,8032.66,871948340
2015-03-09,7988.69,8149.59,7924.02,8084.92,481684674
2015-03-10,8090.46,8303.06,8026.84,8239.44,739060896
2015-03-11,8285.53,8446.46,8233.45,8394.37,837449708
2015-03-12,8434.15,8707.9,8181.39,8455.14,556245312
2015-03-13,8461.78,8461.78,8124.49,8124.49,810679926
2015-03-16,8181.95,8240.75,8031.24,8090.05,779298640
2015-03-17,8076.77,8375.17,8076.77,8375.17,2127285849
2015-03-18,8425.59,8707.64,8075.69,8357.74,233852458
2015-03-19,8343.61,8453.55,8338.45,8448.39,560910728
2015-03-20,8460.61,8460.61,8314.67,8314.67,1224127105
2015-03-23,8337.6,8337.6,8190.33,8190.33,296808596
2015-03-24,8160.75,8206.58,8056.42,8102.25,345581785
2015-03-25,8090.65,8101.72,8017.57,8028.64,748120784
2015-03-26,8029.69,8118.9,7803.85,7893.06,597598409
2015-03-27,7926.96,8049.26,7906.15,8028.44,898723076
2015-03-30,8023.13,8197.23,7968.12,8142.22,490496007
2015-03-31,8150.68,8187.3,8144.37,8181.0,335331799
2015-04-01,8158.08,8343.45,7995.62,8181.0,118613936
2015-04-02,8143.77,8365.61,7998.96,8220.81,329250944
2015-04-03,8260.39,8260.39,8070.73,8070.73,733526400
2015-04-06,8020.01,8252.73,7861.65,8094.37,835378608
2015-04-07,8056.34,8191.29,7984.12,8119.06,749850812
2015-04-08,8078.31,8097.32,8024.48,8043.48,452687564
2015-04-09,8103.04,8131.78,8083.21,8111.94,338007988
2015-04-10,8138.95,8138.95,7970.3,7970.3,881266515
2015-04-13,7965.73,8077.35,7846.47,7958.1,184655687
